Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 3-20-2020  5:10PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  top.ngd
output file: top_pad.csv
Part type:   xc2c256
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P136,SW10_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P137,disp_dig_o<0>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P138,disp_seg_o<1>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P139,disp_seg_o<5>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P140,disp_seg_o<3>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P141,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P142,disp_seg_o<2>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P143,disp_seg_o<6>,O,I/O/GSR,OUTPUT,LVCMOS18,2,,FAST,,,,
P144,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


